kategorie,deutsch,kroatisch,lautschrift-hr,englisch,lautschrift-en
Substantiv (400 Dinge),Tatsache,činjenica,[tʃiɲenitsa],fact,[fækt]
Substantiv (400 Dinge),Misserfolg,neuspjeh,[neuspjex],failure,[ˈfeɪljər]
Substantiv (400 Dinge),fallen,padati,[padati],fall,[fɔl]
Adjektiv (50 Gegensätze),falsch,lažno,[laʒno],false,[fɔls]
Substantiv (400 Dinge),Familie,obitelji,[obiteʎi],family,[ˈfæməli]
Partikel / Präposition,weit,daleko,[daleko],far,[fɑr]
Substantiv (200 bildh.),Bauernhof,farma,[farma],farm,[fɑrm]
Adjektiv (100 allg.),fett,masti,[masti],fat,[fæt]
Substantiv (400 Dinge),Vater,otac,[otats],father,[ˈfɑðər]
Substantiv (400 Dinge),Angst,strah,[strax],fear,[fɪr]
Substantiv (200 bildh.),Feder,pero,[pero],feather,[ˈfɛðər]
Adjektiv (50 Gegensätze),schwach,slabašan,[slabaʃan],feeble,[ˈfibəl]
Substantiv (400 Dinge),Gefühl,osjećaj,[osjetɕaj],feeling,[ˈfilɪŋ]
Adjektiv (50 Gegensätze),weiblich,ženskog spola,[ʒenskoɡ spola],female,[ˈfiˌmeɪl]
Adjektiv (100 allg.),fruchtbar,plodna,[plodna],fertile,[ˈfərtəl]
Substantiv (400 Dinge),Fruchtbarkeit,plodnost,[plodnost],fertility,[fərˈtɪlɪti]
Substantiv (400 Dinge),Fiktion,fikcija,[fiktsija],fiction,[ˈfɪkʃən]
Substantiv (400 Dinge),Feld,polje,[poʎe],field,[fild]
Substantiv (400 Dinge),kämpfen,boriti se,[boriti se],fight,[faɪt]
Substantiv (200 bildh.),Finger,prst,[prst],finger,[ˈfɪŋɡər]
Substantiv (400 Dinge),Feuer,požara,[poʒara],fire,[faɪər]
Adjektiv (100 allg.),zuerst,prvi,[prʋi],first,[fərst]
Substantiv (200 bildh.),Fisch,riba,[riba],fish,[fɪʃ]
Substantiv (200 bildh.),Fischernetz,ribarska mreža,[ribarska mreʒa],fishing net,[ˈfɪʃɪŋ nɛt]
Adjektiv (100 allg.),behoben,fiksni,[fiksni],fixed,[fɪkst]
Substantiv (200 bildh.),Flagge,zastava,[zastaʋa],flag,[flæɡ]
Substantiv (400 Dinge),Flamme,plamen,[plamen],flame,[fleɪm]
Adjektiv (100 allg.),flach,stan,[stan],flat,[flæt]
Substantiv (400 Dinge),Flug,let,[let],flight,[flaɪt]
Substantiv (200 bildh.),Boden,pod,[pod],floor,[flɔr]
Substantiv (400 Dinge),Blume,cvijet,[tsʋjeːt],flower,[flaʊər]
Substantiv (200 bildh.),fliegen,letjeti,[letjeti],fly,[flaɪ]
Substantiv (400 Dinge),falten,presavijati,[presaʋijati],fold,[foʊld]
Substantiv (400 Dinge),Essen,hrane,[xrane],food,[fud]
Adjektiv (50 Gegensätze),dumm,budalasto,[budalasto],foolish,[ˈfulɪʃ]
Substantiv (400 Dinge),Dummheit,glupost,[ɡlupost],foolishness,[ˈfulɪʃnəs]
Substantiv (200 bildh.),Fuß,noga,[noɡa],foot,[fʊt]
Partikel / Präposition,für,za,[za],for,[fər]
Substantiv (400 Dinge),Kraft,sila,[sila],force,[fɔrs]
Substantiv (200 bildh.),Gabel,vilica,[ʋilitsa],fork,[fɔrk]
Substantiv (400 Dinge),Formular,obrazac,[obrazats],form,[fɔrm]
Partikel / Präposition,vorwärts,naprijed,[naprjeːd],forward,[ˈfɔrwərd]
Substantiv (200 bildh.),Geflügel,peradi,[peradi],fowl,[faʊl]
Substantiv (200 bildh.),Rahmen,okvir,[okʋir],frame,[freɪm]
Adjektiv (100 allg.),kostenlos,besplatno,[besplatno],free,[fri]
Adjektiv (100 allg.),häufig,učestalo,[utʃestalo],frequent,[ˈfrikˌwɛnt]
Substantiv (400 Dinge),Freund,prijatelju,[prijateʎu],friend,[frɛnd]
Partikel / Präposition,von,od,[od],from,[frəm]
Substantiv (400 Dinge),vorne,sprijeda,[sprjeːda],front,[frənt]
Substantiv (400 Dinge),Frucht,voće,[ʋotɕe],fruit,[frut]
Adjektiv (100 allg.),voll,puna,[puna],full,[fʊl]
Adjektiv (50 Gegensätze),Zukunft,budućnost,[budutɕnost],future,[fˈjutʃər]
Substantiv (200 bildh.),Garten,vrt,[ʋrt],garden,[ˈɡɑrdən]
Adjektiv (100 allg.),allgemein,opći,[optɕi],general,[ˈdʒɛnərəl]
Verb,bekommen,dobiti,[dobiti],get,[ɡɪt]
Substantiv (200 bildh.),Mädchen,djevojka,[djeʋojka],girl,[ɡərl]
Substantiv (400 Dinge),Freundin,djevojka,[djeʋojka],girlfriend,[ˈɡərlˌfrɛnd]
Verb,geben,dati,[dati],give,[ɡɪv]
Substantiv (400 Dinge),Glas,stakla,[stakla],glass,[ɡlæs]
Substantiv (200 bildh.),Handschuh,rukavica,[rukaʋitsa],glove,[ɡləv]
Verb,geh,otići,[otitɕi],go,[ɡoʊ]
Substantiv (200 bildh.),Ziege,koza,[koza],goat,[ɡoʊt]
Substantiv (400 Dinge),Gold,zlato,[zlato],gold,[ɡoʊld]
Adjektiv (100 allg.),gut,dobar,[dobar],good,[ɡʊd]
Substantiv (400 Dinge),Regierung,vlada,[ʋlada],government,[ˈɡəvərnmənt]
Substantiv (400 Dinge),Getreide,žito,[ʒito],grain,[ɡreɪn]
Substantiv (400 Dinge),Gras,trava,[traʋa],grass,[ɡræs]
Adjektiv (100 allg.),grau,siva,[siʋa],gray,[ɡreɪ]
Adjektiv (100 allg.),großartig,super,[super],great,[ɡreɪt]
Adjektiv (50 Gegensätze),grün,zelena,[zelena],green,[ɡrin]
Adjektiv (100 allg.),grau/grau,siva/siva,[siʋa/siʋa],grey/gray,[ɡreɪ]
Substantiv (400 Dinge),Griff,stisak,[stisak],grip,[ɡrɪp]
Substantiv (400 Dinge),Gruppe,grupa,[ɡrupa],group,[ɡrup]
Substantiv (400 Dinge),Wachstum,rast,[rast],growth,[ɡroʊθ]
Substantiv (400 Dinge),Führer,vodič,[ʋoditʃ],guide,[ɡaɪd]
